,Fast Food Restaurant,Item,Type,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g),Protein (g)
0,McDonald's,Hamburger,Burger,98,240,8.0,3.0,0.0,480.0,32.0,6.0,12.0
1,McDonald's,Cheeseburger,Burger,113,290,11.0,5.0,0.5,680.0,33.0,7.0,15.0
2,McDonald's,?,Burger,211,530,27.0,10.0,1.0,960.0,47.0,9.0,24.0
3,McDonald's,Quarter Pounder with Cheese,Burger,202,520,26.0,12.0,1.5,1100.0,41.0,10.0,30.0
4,McDonald's,Bacon Clubhouse Burger,Burger,270,720,40.0,15.0,1.5,1470.0,51.0,14.0,39.0
5,McDonald's,Double Quarter Pounder with Cheese,Burger,283,750,43.0,19.0,2.5,1280.0,42.0,10.0,48.0
6,McDonald's,Chocolate Shake (12oz),Milkshake,257,530,15.0,10.0,1.0,160.0,86.0,63.0,11.0
7,McDonald's,?,Breaded Chicken Sandwich,213,510,22.0,3.5,0.0,990.0,55.0,10.0,24.0
8,McDonald's,?,Grilled Chicken Sandwich,200,350,9.0,2.0,0.0,820.0,42.0,8.0,28.0
9,McDonald's,Chicken McNuggets® (4 piece),Chicken Nuggets,65,190,12.0,2.0,0.0,360.0,12.0,0.0,9.0
10,McDonald's,?,French Fries,75,230,11.0,1.5,0.0,130.0,30.0,0.0,2.0
11,Burger King,Hamburger,Burger,93,220,8.0,3.0,0.5,380.0,26.0,6.0,11.0
12,Burger King,Cheeseburger,Burger,104,270,12.0,5.0,0.5,560.0,27.0,7.0,13.0
13,Burger King,WHOPPER® Sandwich,Burger,260,630,38.0,11.0,1.5,810.0,49.0,11.0,26.0
14,Burger King,Bacon & Cheese WHOPPER® Sandwich,Burger,279,750,49.0,16.0,2.0,1260.0,46.0,8.0,
15,Burger King,DOUBLE WHOPPER® Sandwich,Burger,341,850,54.0,18.0,2.5,,49.0,11.0,43.0
16,Burger King,Double Bacon King,Burger,327,1040,69.0,28.0,2.5,1900.0,48.0,10.0,57.0
17,Burger King,Chocolate Milk Shake,Milkshake,343,610,16.0,10.0,0.0,500.0,103.0,88.0,14.0
18,Burger King,TENDERCRISP® Chicken Sandwich,Breaded Chicken Sandwich,248,660,40.0,7.0,0.0,1220.0,49.0,7.0,26.0
19,Burger King,TENDERGRILL® Chicken Sandwich,Grilled Chicken Sandwich,217,420,18.0,3.0,0.0,700.0,35.0,6.0,32.0
20,Burger King,Chicken Nuggets- 4pc,Chicken Nuggets,58,170,11.0,1.5,0.0,310.0,11.0,0.0,8.0
21,Burger King,French Fries - small (Salted),French Fries,128,320,14.0,2.5,0.0,480.0,44.0,0.0,4.0
22,Wendy's,?,Burger,102,250,10.0,4.0,1.0,600.0,25.0,5.0,14.0
23,Wendy's,Jr. Cheeseburger,Burger,113,290,13.0,6.0,1.0,800.0,26.0,6.0,16.0
24,Wendy's,?,Burger,247,580,31.0,13.0,2.0,1220.0,42.0,10.0,30.0
25,Wendy's,1/2 lb. Double w/ Cheese,Burger,329,820,47.0,20.0,3.0,1510.0,42.0,10.0,48.0
26,Wendy's,3/4 lb. Triple w/ Cheese,Burger,423,1090,66.0,29.0,4.0,1990.0,43.0,11.0,69.0
27,Wendy's,Baconator®,Burger,295,940,56.0,23.0,3.0,1890.0,41.0,9.0,57.0
28,Wendy's,Son of Baconator®,Burger,211,670,37.0,15.0,2.0,1670.0,41.0,9.0,38.0
29,Wendy's,"Chocolate Frosty Shake, Small",Milkshake,342,580,13.0,8.0,1.0,250.0,104.0,93.0,11.0
30,Wendy's,Homestyle Chicken Sandwich,Breaded Chicken Sandwich,247,510,20.0,4.0,0.0,1200.0,54.0,8.0,29.0
31,Wendy's,Ultimate Chicken Grill Sandwich,Grilled Chicken Sandwich,231,370,7.0,2.0,0.0,880.0,43.0,9.0,34.0
32,Wendy's,4-Piece Regular Chicken Nuggets,Chicken Nuggets,60,180,12.0,3.0,0.0,350.0,10.0,0.0,9.0
33,Wendy's,Small Natural-Cut Fries,French Fries,108,310,15.0,3.0,0.0,330.0,40.0,0.0,4.0
34,Chick-fil-A,Grilled Chicken Sandwich,Grilled Chicken Sandwich,193,270,3.5,1.0,0.0,940.0,33.0,7.0,
35,Chick-fil-A,Chick-fil-A Chicken Sandwich,Breaded Chicken Sandwich,170,410,16.0,3.5,0.0,1300.0,38.0,5.0,28.0
36,Chick-fil-A,4-Piece Chicken Nuggets,Chicken Nuggets,57,130,6.0,1.0,0.0,545.0,6.0,1.5,13.0
37,Chick-fil-A,Small Waffle Fries,French Fries,85,280,14.0,5.0,1.0,105.0,37.0,0.0,3.0
38,Chick-fil-A,Chocolate Milkshake,Milkshake,418,560,22.0,13.0,0.0,380.0,82.0,79.0,12.0
39,Jack in the Box,Hamburger,Burger,105,280,11.0,4.0,0.5,680.0,32.0,5.0,14.0
40,Jack in the Box,Hamburger with Cheese,Burger,106,320,14.0,6.0,1.0,880.0,32.0,6.0,16.0
41,Jack in the Box,Jumbo Jack,Burger,218,490,23.0,8.0,1.5,910.0,44.0,7.0,
42,Jack in the Box,Bacon Ultimate Cheeseburger™,Burger,284,910,56.0,24.0,3.0,2190.0,44.0,7.0,57.0
43,Jack in the Box,?,Burger,181,560,30.0,12.0,1.5,1170.0,43.0,6.0,29.0
44,Jack in the Box,Jr. Jack™ with Cheese,Burger,153,470,19.0,7.0,1.0,920.0,33.0,6.0,16.0
45,Jack in the Box,Sirloin Cheeseburger,Burger,370,1030,71.0,23.0,2.5,1990.0,52.0,9.0,41.0
46,Jack in the Box,Sourdough Jack®,Burger,223,660,41.0,15.0,1.5,1450.0,40.0,8.0,35.0
47,Jack in the Box,"Shake, Chocolate w/ Whipped Topping 16 oz.",Milkshake,376,800,38.0,26.0,1.5,300.0,101.0,88.0,13.0
